,names,logfoldchanges
1694,BARX1,25.629484
3283,TBX2-AS1,24.12025
3146,SLC24A2,23.98493
5254,CST1,23.06061
6582,TNFAIP8L3,22.186348
6729,CPXM2,22.006653
6291,ACAN,22.005787
6816,NOTUM,21.551144
6771,SLC6A2,21.488493
6102,ASTN1,21.315012
7310,RPH3A,21.158895
7275,CDHR5,20.945604
7464,REG4,20.13376
2892,TBX2,8.81665
3470,PAX5,7.697608
5588,ELFN1,7.2557034
4377,CST2,7.201548
3883,LINC01833,7.1809483
5812,LINC01767,7.1735578
7025,MSC-AS1,6.4414706
2805,SPARCL1,6.3046455
6346,HGF,6.125512
3706,NEFL,6.0999827
4664,PTCHD1,5.8786054
1683,RAMP3,5.8573594
6572,ADGRB3,5.823551
5318,C14orf39,5.739996
6757,APOL4,5.427931
6669,CD163L1,5.359177
3047,OPCML,5.2948976
358,SPP1,5.267107
4620,FRMPD1,5.2002554
2326,FAIM2,5.1752934
4989,FIGN,5.069739
7255,MDFI,4.966624
7605,CRYM,4.9448533
7146,SIX6,4.8765182
89,MSN,4.8700104
3931,NHLH2,4.7517705
5982,ARG1,4.725934
6384,SLCO1A2,4.6896553
6305,GPER1,4.6820655
6600,KCNA1,4.6778502
139,DKK3,4.618358
6455,GHRH,4.537693
4681,PLPP4,4.4516993
7383,LINC01915,4.4091086
4634,PCDHB7,4.3906074
3676,BOC,4.3888764
1512,PRICKLE2,4.384799
6072,THRB-IT1,4.384385
236,PLCH2,4.3660636
215,SIX3-AS1,4.3551555
1721,MYOM1,4.3373685
6707,TSLP,4.321177
3615,PLPP3,4.301067
6759,FABP6,4.2975802
138,SGIP1,4.296914
7446,IRF8,4.2260966
7006,PMFBP1,4.182034
1595,DGKB,4.1313677
5866,FAM83A-AS1,4.113376
2938,ST8SIA1,4.0793314
1808,PRG4,4.072476
7651,TMEM246-AS1,4.060118
110,SIX3,4.050924
6824,CP,3.9886346
3240,APOD,3.9582524
5312,CAMK4,3.9573665
892,ALDOB,3.9295988
3526,PCOLCE2,3.9180324
7606,CRACR2A,3.8914952
298,CELA2A,3.8775215
7551,CACNG2,3.8566084
6007,BARHL1,3.853974
6504,LNCTAM34A,3.8483
1527,KCNJ8,3.844781
7046,ZDHHC22,3.8196971
1172,SYT1,3.8128011
3141,CD8B2,3.7778602
4194,ICAM1,3.7434945
7322,TXLNB,3.7392237
3330,SERPINA6,3.715587
5362,NTNG1,3.6283376
2768,OPLAH,3.6240141
7009,KCNQ3,3.6151404
969,GAD1,3.5838468
6966,TMEM132C,3.5795953
7879,PYY,3.5668812
6366,MSX1,3.5663157
5769,LCN10,3.561222
3839,KCNJ2,3.549307
248,AQP3,3.5326514
1415,ABCC9,3.5292857
3667,ZBTB16,3.4912953
5315,ADRB1,3.467372
6738,IRX1,3.4637759
2015,PDE4B,3.4388146
7281,FNDC11,3.4387982
6073,FOXC1,3.4315302
4256,PCDHB12,3.427136
2423,TSHR,3.385532
7053,PTCHD4,3.3524308
5514,MMP2,3.3297417
84,XIST,3.3121548
7674,MDGA1,3.3050401
7215,CCDC9B,3.3039577
6398,KCNA2,3.2834468
7754,BMP4,3.2823205
7069,BAIAP2L2,3.2659707
5586,KCNH8,3.2535098
498,CNKSR2,3.2475588
7756,RET,3.2311115
1037,CELA2B,3.2175567
5847,RERG,3.2056584
808,PHLDA3,3.201358
3791,CREB3L1,3.2007966
1674,PON1,3.194883
6954,RAI1-AS1,3.1823862
2950,ROR2,3.1520164
255,CDKN2A,3.1461709
6604,MIR9-3HG,3.1386993
5386,LAMB2,3.1377535
7698,SCGB1B2P,3.1373596
5949,ST6GAL1,3.1346192
889,PCDHB4,3.1192605
