,names,logfoldchanges
871,PLPPR4,25.925093
2724,NKX6-2,25.873734
4667,SPARCL1,25.229965
2542,GAD1,25.227451
2948,FIGN,25.043407
2726,ICAM1,24.930834
4328,SOCS3,24.645386
3926,TPBGL,24.5128
3704,ZNF234,24.50681
4081,DNMBP,24.422903
4499,PCDH10,24.417624
4931,CP,24.401407
4574,OPLAH,24.32864
3844,ANKRD29,24.254538
3845,TRIM62,24.253765
4171,NRSN1,24.19324
4080,TEX29,24.180443
5344,PAX5,24.17935
5439,CDHR5,24.173962
4498,CD8B2,24.170965
3773,BMP1,24.08107
4004,MROH6,24.062035
4668,PIK3CD,24.046724
5231,ATP8A2,24.001629
5033,CST1,23.94832
4573,POU6F1,23.943575
4259,FAM133A,23.938282
5232,NAT1,23.856165
4575,ASTN1,23.854666
5230,PRSS53,23.805061
4932,CACHD1,23.787252
5437,CCK,23.734829
5233,LINC01833,23.714613
5133,CD5,23.677864
5034,PCDHB11,23.67479
5345,FUT8-AS1,23.553116
5438,LKAAEAR1,23.479122
5440,VSIG8,23.31453
2955,ALDOB,5.2358165
1363,STARD13,5.184021
1279,MROH8,5.048342
882,GPNMB,4.7473974
2581,ZNF710,4.606118
1236,ONECUT2,4.5513577
387,PLCH2,4.4186645
608,CNKSR2,4.3533263
3099,BIRC3,4.2924876
1198,KREMEN1,4.1837764
4109,LAMA5-AS1,4.0262337
3597,DHRS3,3.9797962
1392,USP27X,3.8689582
4268,CA13,3.8435476
906,MSN,3.80595
457,SGIP1,3.8032696
5137,LINC00852,3.7994034
3962,GALM,3.7714958
4053,RFX5,3.7654262
5867,ZNF503-AS1,3.7474942
4425,ZNF589,3.72915
5760,ZNF850,3.7191284
4777,HIPK1-AS1,3.6610656
977,CASKIN2,3.6482148
2993,SCRT1,3.638725
5449,FAM13A-AS1,3.6288004
1671,LINC01099,3.6170187
6360,HSPA6,3.609842
4606,RAMP3,3.590292
2788,POU6F2,3.5728574
388,SIX3-AS1,3.563255
3474,BOC,3.52684
2269,ZNF550,3.50233
4367,MXD3,3.495879
