,names,logfoldchanges
4869,ELFN1,8.183652
1220,BARX1,6.20966
7098,SLC6A2,5.5906167
7304,LINC01117,5.554508
8610,SIX1,5.025832
2904,PCOLCE2,4.573844
7167,SIX6,4.419965
1773,FAIM2,3.8023107
2603,PAX5,3.5806801
8118,PGA5,3.5577693
8025,LINC02024,3.4795144
8886,SPDEF,3.4315546
7748,LINC01915,3.3938694
7638,IRF8,3.3881955
6971,CD163L1,3.3774145
3164,TBX2-AS1,3.3699937
5094,CAMK4,3.3577738
7726,CYP26B1,3.2164679
2625,TBX2,3.1347325
890,RAMP3,3.0822937
27,DKK3,3.0702474
4714,PTCHD1,3.0617814
4024,NEFL,3.003751
3458,NHLH2,3.0036943
8441,AQP5,2.9948204
8976,CLCA4,2.9800544
8958,CARTPT,2.9741232
2081,OPLAH,2.959739
9166,C11orf87,2.9589074
6806,YPEL4,2.8989449
702,SYT1,2.8739662
186,CELA2A,2.8492827
2814,SLC24A2,2.777795
6128,GAL,2.7043147
7298,TNFAIP8L3,2.6828327
647,ALDOB,2.6550074
1960,TSHR,2.6481814
6589,GHRH,2.6269643
9570,SLC18A3,2.6095593
9302,LINC02271,2.57248
8479,CHRNA3,2.539046
955,CELA2B,2.48163
8791,ADAMTS17,2.4780722
777,AMY2A,2.4070714
7070,WNT11,2.383504
4310,KCNH8,2.3789062
7719,PMFBP1,2.3787878
7295,CPXM2,2.3443694
7218,SERPINI2,2.3299685
9238,NKPD1,2.3168952
9023,DRGX,2.284577
8435,LINC02688,2.2557464
6796,FUT3,2.2326658
5710,NTNG1,2.2312891
8634,CPLX3,2.2236855
2219,BTBD17,2.2191374
8987,PAQR9-AS1,2.2169728
3447,PLPP3,2.2085645
9569,FAT3,2.1981974
4295,ALB,2.1847262
9185,NHLH1,2.1809008
9096,SOX30,2.1755936
6466,NEK2,2.1584277
2559,AMY2B,2.1531684
3090,ZNF556,2.1382444
9056,ASIC2,2.0951009
9643,KCNT1,2.0838974
604,GAD1,2.083243
9534,SCGB3A1,2.0718036
7461,BMP4,2.0452595
10050,FAM87B,2.0366888
8671,TGFA,2.0360157
9027,UGT2A3,2.0352788
9018,MUC5B,2.0180376
9564,CSMD2,2.01679
1948,SLC4A4,2.0057273
8772,RUNX2-AS1,2.004367
10098,CTSE,2.00348
7129,ACAN,1.9838188
9847,SFN,1.9673396
8677,MEIOB,1.964374
10268,LHFPL3-AS1,1.9474953
9420,SDR16C5,1.9453686
9261,ADGRF4,1.93028
9515,ADD2,1.9184046
9894,TMPRSS11B,1.9163182
8611,CATSPERD,1.9052612
424,GP2,1.9007413
9199,HLA-DRB5,1.9000751
10265,ZNF732,1.8992754
8844,CSMD1,1.8911871
8601,PRRG3,1.8900008
9517,TMEM156,1.8877301
6724,GRIN1,1.8870176
6849,HGF,1.8717436
2747,FBN2,1.8690178
9675,TNNT1,1.8545315
6356,PCDHB6,1.8329467
7822,RPRM,1.8230968
8646,LINC01415,1.8175446
10179,GPHA2,1.8146375
7293,NIPAL4,1.812444
2679,PCDH10,1.8082604
7446,HBZ,1.8073393
9303,SLCO1C1,1.8069702
405,ONECUT2,1.8004762
5035,TTBK1,1.7823864
8408,TMEM246-AS1,1.7741374
9377,MATR3,1.7706242
10680,ADCY10,1.7601726
8615,IL12RB2,1.7542577
7377,ADGRB3,1.7531292
3793,OPCML,1.7442008
10180,SLC38A5,1.7397298
9077,LTA,1.7344915
8714,LRRK1,1.7295494
9826,CA2,1.7294594
8775,TMPRSS9,1.7292734
36,MSN,1.7252282
106,PNLIP,1.7249211
9134,EGFR,1.7182896
9481,ANKRD33B,1.7071288
6798,TSSK6,1.7007661
9032,ZNF804A,1.6946707
9586,TBC1D3D,1.6907667
6949,NRXN3,1.6904601
9256,C1QTNF7,1.6683307
7052,OLIG3,1.665241
4930,SV2B,1.6578403
9846,LAG3,1.6542802
4275,RBAKDN,1.6528126
7739,GRM2,1.6492225
2208,NKX6-2,1.6415911
9295,LMOD2,1.6407884
78,CELA3B,1.6387239
5945,FOXC1,1.6386021
786,PCDHB4,1.6326649
9819,C20orf202,1.6256453
5789,PLPP4,1.6173898
9506,SDC1,1.6155287
9931,LINC01821,1.613343
414,ANGPT2,1.6056461
2803,FNDC9,1.6034955
8218,ZNF80,1.5979505
9296,PALM3,1.5972369
5198,PCDHB7,1.5964808
4999,RIPOR2,1.5916777
8595,MYLK3,1.5901765
10387,EP300-AS1,1.5874069
7517,DNM3OS,1.5866796
7191,SLC26A4-AS1,1.585046
8766,SAMD14,1.5840534
8602,ZFHX4,1.5835086
8920,DTX1,1.5775675
6349,STON1,1.5728858
8998,HSPB8,1.5707822
3739,ST8SIA1,1.5704243
8448,FAM228A,1.5630454
9932,MYBPC2,1.5627582
10015,FOXN3-AS2,1.5610226
47,PLA2G1B,1.5598655
8352,SELP,1.5594028
10327,BTBD18,1.5556222
10154,TNFRSF10C,1.5538721
6686,BARHL1,1.5537192
1556,FSTL4,1.5533576
9180,UPK3B,1.5503935
9955,ADAP1,1.5475252
9459,CASP10,1.5466062
6613,KIF26A,1.5376685
8056,CACNA1C-AS2,1.5331143
9351,GALNT6,1.5294408
7883,KCNK9,1.5278571
8062,GLB1L3,1.5275626
8980,CACNA2D3,1.5249596
7939,LRP4,1.5197498
9924,CNR2,1.5180547
8866,OBSCN-AS1,1.5136526
8465,GDNF,1.5088067
9525,BLK,1.5074035
7989,KCNK4,1.5065114
10502,HAMP,1.5064708
2311,LINC01116,1.5060557
7805,GRP,1.502872
8026,IGLL1,1.5026569
10546,CEACAM16,1.5025764
4178,CNTNAP5,1.4993963
9851,EFEMP1,1.4950674
10292,EML2-AS1,1.491294
6454,EFNA3,1.4896774
2944,FJX1,1.4795594
4816,BHLHE40-AS1,1.4782696
8985,RET,1.4759185
12067,AKR1B10,1.4757819
10354,DUOX2,1.4743342
7122,CDH24,1.473474
124,CRTC2,1.4709878
3853,GAS6,1.4690881
9299,POU4F3,1.465217
15,CELA3A,1.4641553
31,CPA1,1.4629551
10016,LINC-ROR,1.461191
6829,COL20A1,1.460168
2254,MROH8,1.4574242
8870,ZSCAN10,1.4569342
9895,TMEM262,1.4512236
9512,SKOR1,1.451011
9528,GBP1,1.4455849
7677,ZDHHC22,1.441002
7922,CFB,1.4390212
9615,KLK11,1.4385896
92,ZNF555,1.4384886
9383,SLC19A1,1.4383543
10543,ACSM6,1.431807
7411,MSC-AS1,1.4306139
6468,LRRD1,1.4294215
4833,LINC01833,1.4279603
8757,ZNF831,1.4276388
9161,IL13,1.4269761
9820,LINC01435,1.4268733
7450,KRT80,1.4253397
6844,ZNF385A,1.4251047
8607,CPVL,1.4242009
6457,SFTPD-AS1,1.4227409
9311,PRC1-AS1,1.421535
9766,COL18A1-AS1,1.4213567
9440,SH3TC2,1.4205109
7779,ASPRV1,1.419557
2990,WNT3,1.4190677
10037,FAM131B,1.4190162
9087,ZG16B,1.4155627
962,COLGALT2,1.4145784
8531,LINC01359,1.413031
9809,MYOZ3,1.4126028
3823,EPB41L4A,1.4083133
5534,TNFRSF18,1.407697
10420,MAB21L1,1.4063767
8239,LHX3,1.4019362
981,FILIP1L,1.4016781
10193,SNCG,1.3961163
9157,TERC,1.3959646
9158,TERC-1,1.3959646
5209,MYOF,1.3949183
11337,LINC01829,1.394529
9735,OVOL1-AS1,1.3942299
4439,SLC26A4,1.3931439
8932,MDGA1,1.3930762
10149,GUCA2B,1.3916725
5623,TNFRSF11B,1.3905973
8867,AZU1,1.3877095
10169,FBLN5,1.3850774
